section_order,section_key,section_name,item_order,item_key,item_label,assessment_type,skill_key,learner_score,instructor_score,notes,last_assessed
0,getting_ready,Getting ready,1,SET-01,"Driving licence checked and photograph matches learner",completion,,,,,
0,getting_ready,Getting ready,2,SET-02,"Minimum eyesight requirement met",completion,,,,,
0,getting_ready,Getting ready,3,SET-03,"Lesson rules and cancellation expectations agreed",completion,,,,,
1,vehicle_setup,Vehicle setup and safety checks,1,VEH-01,"Identify the location and function of vehicle controls",completion,control,,,,
1,vehicle_setup,Vehicle setup and safety checks,2,VEH-02,"Check that the doors are secure",completion,control,,,,
1,vehicle_setup,Vehicle setup and safety checks,3,VEH-03,"Adjust the seat for safe comfortable control",completion,control,,,,
1,vehicle_setup,Vehicle setup and safety checks,4,VEH-04,"Set an appropriate steering-wheel position",completion,control,,,,
1,vehicle_setup,Vehicle setup and safety checks,5,VEH-05,"Adjust the mirrors correctly",completion,control,,,,
1,vehicle_setup,Vehicle setup and safety checks,6,VEH-06,"Carry out POWDERS vehicle checks",completion,control,,,,
1,vehicle_setup,Vehicle setup and safety checks,7,VEH-07,"Answer and demonstrate show me tell me vehicle-safety questions",completion,,,,,
2,moving_off,Moving off and stopping,1,MOVE-01,"Choose a safe legal and appropriate place to pull up",score_1_3,positioning,,,,
2,moving_off,Moving off and stopping,2,MOVE-02,"Stop an appropriate distance from the kerb",score_1_3,positioning,,,,
2,moving_off,Moving off and stopping,3,MOVE-03,"Prepare the vehicle before moving off",score_1_3,move_off,,,,
2,moving_off,Moving off and stopping,4,MOVE-04,"Make effective observations before moving off",score_1_3,move_off,,,,
2,moving_off,Moving off and stopping,5,MOVE-05,"Move away safely using Prepare Observe Move",score_1_3,move_off,,,,
2,moving_off,Moving off and stopping,6,MOVE-06,"Move off safely uphill",score_1_3,move_off,,,,
2,moving_off,Moving off and stopping,7,MOVE-07,"Move off safely downhill",score_1_3,move_off,,,,
2,moving_off,Moving off and stopping,8,MOVE-08,"Carry out a controlled emergency stop",score_1_3,manoeuvres,,,,
3,core_process,"Core driving process - Mirrors Signal Position Speed Look",1,CORE-01,"Choose and check the correct mirrors at the right time",score_1_3,mirrors,,,,
3,core_process,"Core driving process - Mirrors Signal Position Speed Look",2,CORE-02,"Decide when a signal is necessary or could mislead",score_1_3,signals,,,,
3,core_process,"Core driving process - Mirrors Signal Position Speed Look",3,CORE-03,"Choose an appropriate normal and junction road position",score_1_3,positioning,,,,
3,core_process,"Core driving process - Mirrors Signal Position Speed Look",4,CORE-04,"Choose an appropriate speed and stop within the clear distance",score_1_3,positioning,,,,
3,core_process,"Core driving process - Mirrors Signal Position Speed Look",5,CORE-05,"Judge safety from other road users' signals position and speed",score_1_3,judgement,,,,
4,t_junctions,T-junctions,1,TJUN-01,"Turn left from a minor road into a major road",score_1_3,junctions,,,,
4,t_junctions,T-junctions,2,TJUN-02,"Turn right from a minor road into a major road",score_1_3,junctions,,,,
4,t_junctions,T-junctions,3,TJUN-03,"Turn left from a major road into a minor road",score_1_3,junctions,,,,
4,t_junctions,T-junctions,4,TJUN-04,"Turn right from a major road into a minor road",score_1_3,junctions,,,,
5,roundabouts,Roundabouts,1,RNDB-01,"Approach and turn left at a roundabout",score_1_3,junctions,,,,
5,roundabouts,Roundabouts,2,RNDB-02,"Approach and follow the road ahead at a roundabout",score_1_3,junctions,,,,
5,roundabouts,Roundabouts,3,RNDB-03,"Approach and turn right at a roundabout",score_1_3,junctions,,,,
5,roundabouts,Roundabouts,4,RNDB-04,"Use mini-roundabouts safely",score_1_3,junctions,,,,
